Date,"	Time","	DetNo","		Stable","		GMean","			OMean","			Gain","					HV","						Offset",,,,,,,,,,,,,,,,,,,,,
4/12/2021,10:37,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,11:23,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,12:09,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,12:57,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,13:41,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,14:27,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,15:13,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,16:00,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,16:45,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,17:31,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,18:17,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,19:03,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,19:49,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,20:35,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,21:21,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,22:07,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,22:53,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
4/12/2021,23:39,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,0:25,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,1:11,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,1:57,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,2:43,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,3:29,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,4:15,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,5:00,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,5:47,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,6:33,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
5/12/2021,7:19,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
